Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
38,2,6,4.19,1.59,1.59,13,4,160,32,5.78,N/A,N/A,10.7,45630523.289589,6418689,1117532,5301157,8.14,0.228,9.26e-06,8.36,1.07,1.41,9.06e-06,2.48,6427372,6522841,1139336,1234805,6418689,45630523.289589,0,0,0,2307
39,0,6,3.838,1.96,1.96,5,1,928,128,5.798,N/A,N/A,5.52,24888288.591993,3449675,629210,2820465,4.46,0.0786,5.13e-06,4.53,0.433,0.578,4.4e-06,1.01,3449586,3482953,635426,668793,3449675,24888288.591993,0,0,0,1305
4,0,6,3.715,2.089,2.089,4,5,160,64,5.804,N/A,N/A,6.77,23293790.591988,3280757,561500,2719257,4.32,0.194,4.66e-06,4.51,1.04,1.26,5.38e-06,2.3,3284136,3350277,575844,641985,3280757,23293790.591988,0,0,0,1308
40,0,6,3.92,1.873,1.873,3,1,1024,32,5.793,N/A,N/A,1.48,7262637.945603,1002477,186969,815508,1.3,0.0113,1.52e-06,1.31,0.0646,0.105,1.18e-06,0.17,1002844,1008764,188173,194093,1002477,7262637.945603,0,0,0,479
40,1,6,4.095,1.69,1.69,16,1,928,32,5.785,N/A,N/A,30.7,153982561.485681,20532560,4011824,16520736,28.5,0.0603,3.09e-05,28.6,0.739,1.72,1.76e-05,2.46,20534487,20565724,4018231,4049468,20532560,153982561.485681,0,0,0,5716
41,0,6,4.036,1.752,1.752,10,4,416,16,5.787999999999999,N/A,N/A,9.18,43813694.556773,6121964,1100160,5021804,7.63,0.0916,9.02e-06,7.72,0.607,0.904,7.21e-06,1.51,6128526,6172861,1110896,1155231,6121964,43813694.556773,0,0,0,1377
42,0,6,4.151,1.63,1.63,3,3,672,32,5.781,N/A,N/A,2.12,8732675.327997,1224090,215307,1008783,1.58,0.0463,1.77e-06,1.63,0.214,0.279,1.71e-06,0.493,1225501,1242305,219016,235820,1224090,8732675.327997,0,0,0,492
43,0,6,3.999,1.79,1.79,1,32,672,32,5.789,N/A,N/A,4.85,18214696.838397,2581852,431712,2150140,3.29,0.14,3.61e-06,3.43,0.639,0.792,4.18e-06,1.43,2586691,2646188,444263,503760,2581852,18214696.838397,0,0,0,967
44,0,6,3.857,1.941,1.941,14,1,128,32,5.798,N/A,N/A,4.94,23262240.332785,3232908,585802,2647106,4.09,0.0545,4.77e-06,4.15,0.326,0.492,4.05e-06,0.818,3234595,3261896,591381,618682,3232908,23262240.332785,0,0,0,861
45,0,6,3.833,1.965,1.965,2,12,864,16,5.798,N/A,N/A,2.89,9328855.862399,1343382,217728,1125654,1.67,0.0764,1.81e-06,1.75,0.494,0.644,2.13e-06,1.14,1347304,1373799,224000,250495,1343382,9328855.862399,0,0,0,524
46,0,6,3.703,2.102,2.102,12,4,416,32,5.805,N/A,N/A,13.5,63399976.854362,8826064,1590672,7235392,11.2,0.19,1.31e-05,11.4,0.946,1.35,1.12e-05,2.3,8834072,8922267,1610840,1699035,8826064,63399976.854362,0,0,0,2194
47,0,6,4.204,1.575,1.575,9,8,864,32,5.779,N/A,N/A,18.6,83616542.393554,11717765,2068056,9649709,15.0,0.355,1.69e-05,15.4,1.56,2.05,1.58e-05,3.62,11730276,11861269,2098440,2229433,11717765,83616542.393554,0,0,0,4015
48,0,6,3.827,1.972,1.972,7,4,32,16,5.7989999999999995,N/A,N/A,3.08,9418415.507199,1357920,214592,1143328,1.67,0.0834,1.8e-06,1.75,0.576,0.748,2.24e-06,1.32,1362505,1393418,221932,252845,1357920,9418415.507199,0,0,0,511
49,0,6,4.002,1.787,1.787,4,1,448,128,5.789,N/A,N/A,3.22,12994012.287994,1816016,321096,1494920,2.37,0.0714,2.64e-06,2.44,0.352,0.438,2.68e-06,0.789,1815927,1842668,326043,352784,1816016,12994012.287994,0,0,0,909
5,0,6,3.991,1.799,1.799,1,1,512,16,5.79,N/A,N/A,0.153,613040.4544,87015,14960,72055,0.11,0.00305,1.23e-07,0.113,0.017,0.0227,1.19e-07,0.0397,87178,88397,15236,16455,87015,613040.4544,0,0,0,74
50,0,6,3.818,1.981,1.981,3,2,544,16,5.799,N/A,N/A,1.18,4822786.684797,679709,118944,560765,0.85,0.016,9.73e-07,0.866,0.128,0.183,9.06e-07,0.311,680654,687485,120530,127361,679709,4822786.684797,0,0,0,241
50,1,6,4.032,1.756,1.756,4,2,672,64,5.788,N/A,N/A,3.91,15314846.902389,2135874,380248,1755626,2.81,0.0911,3.12e-06,2.91,0.457,0.564,2.98e-06,1.02,2136940,2164107,385888,413055,2135874,15314846.902389,0,0,0,939
50,2,6,3.824,1.975,1.975,10,1,128,64,5.7989999999999995,N/A,N/A,4.78,18797052.863987,2624790,465070,2159720,3.43,0.107,3.82e-06,3.54,0.561,0.703,3.8e-06,1.26,2625565,2660714,471885,507034,2624790,18797052.863987,0,0,0,1083
51,0,6,3.814,1.985,1.985,10,5,640,128,5.799,N/A,N/A,35.7,145794962.67833,20404575,3604100,16800475,27.3,0.888,2.84e-05,28.2,4.07,4.86,2.76e-05,8.93,20414250,20724999,3671570,3982319,20404575,145794962.67833,0,0,0,8109
52,0,6,4.141,1.641,1.641,5,1,896,16,5.782,N/A,N/A,3.2,16330649.888002,2242535,412720,1829815,2.82,0.0108,3.32e-06,2.83,0.145,0.233,2.54e-06,0.378,2243258,2249166,414033,419941,2242535,16330649.888002,0,0,0,791
53,0,6,4.21,1.568,1.568,5,6,672,32,5.7780000000000005,N/A,N/A,6.58,27202922.259192,3818611,663930,3154681,4.87,0.149,5.48e-06,5.02,0.7,0.913,5.51e-06,1.61,3823678,3878633,676488,731443,3818611,27202922.259192,0,0,0,1422
54,0,6,3.754,2.049,2.049,5,2,64,16,5.803,N/A,N/A,1.51,5554811.254399,789157,134240,654917,0.996,0.0292,1.11e-06,1.03,0.208,0.278,1.08e-06,0.486,790728,802045,136868,148185,789157,5554811.254399,0,0,0,269
55,0,6,4.139,1.643,1.643,9,4,288,32,5.782,N/A,N/A,9.95,45486435.097571,6349657,1142316,5207341,8.13,0.174,9.4e-06,8.31,0.738,0.999,7.8e-06,1.74,6355640,6421857,1157420,1223637,6349657,45486435.097571,0,0,0,1920
56,0,6,4.169,1.612,1.612,16,2,992,16,5.781,N/A,N/A,34.8,175052123.865396,23452562,4541952,18910610,32.5,0.0551,3.48e-05,32.6,0.767,1.76,1.93e-05,2.53,23457576,23493791,4550504,4586719,23452562,175052123.865396,0,0,0,4619
57,0,6,4.146,1.636,1.636,6,1,736,16,5.782,N/A,N/A,3.8,18400409.952001,2521494,464544,2056950,3.18,0.016,3.74e-06,3.2,0.232,0.379,2.87e-06,0.611,2522357,2529430,466109,473182,2521494,18400409.952001,0,0,0,894
58,0,6,3.871,1.925,1.925,6,6,864,16,5.796,N/A,N/A,6.65,30013366.447983,4222872,741312,3481560,5.23,0.0896,6.08e-06,5.32,0.564,0.805,5.51e-06,1.37,4228840,4268495,750916,790571,4222872,30013366.447983,0,0,0,1096
59,0,6,4.195,1.584,1.584,8,2,160,32,5.779,N/A,N/A,3.71,15240254.111995,2139258,374576,1764682,2.76,0.0851,3.08e-06,2.84,0.385,0.503,3.03e-06,0.888,2141672,2171711,381160,411199,2139258,15240254.111995,0,0,0,814
6,0,6,4.029,1.759,1.759,9,1,480,32,5.788,N/A,N/A,5.92,29033112.556796,3917520,740619,3176901,5.08,0.0377,6.01e-06,5.12,0.324,0.506,4.53e-06,0.83,3918607,3936206,744226,761825,3917520,29033112.556796,0,0,0,1258
60,0,6,4.05,1.737,1.737,12,4,384,16,5.787,N/A,N/A,12.7,63640058.361552,8889076,1602816,7286260,11.0,0.0827,1.31e-05,11.0,0.69,1.08,1.02e-05,1.77,8896956,8950175,1615752,1668971,8889076,63640058.361552,0,0,0,1689
61,0,6,3.66,2.147,2.147,13,16,160,16,5.807,N/A,N/A,32.8,143900514.502326,20303637,3544320,16759317,25.9,0.441,2.8e-05,26.4,2.87,4.02,2.49e-05,6.89,20338960,20565489,3600264,3826793,20303637,143900514.502326,0,0,0,4634
61,1,6,4.105,1.679,1.679,2,12,960,32,5.784000000000001,N/A,N/A,4.35,15863237.852797,2249302,377544,1871758,2.91,0.133,3.14e-06,3.04,0.591,0.721,3.64e-06,1.31,2253256,2297351,387384,431479,2249302,15863237.852797,0,0,0,886
62,0,6,3.965,1.826,1.826,13,4,192,64,5.791,N/A,N/A,20.5,76343697.158358,10697938,1872572,8825366,14.3,0.577,1.55e-05,14.9,2.78,3.32,1.62e-05,6.1,10706909,10878554,1910368,2082013,10697938,76343697.158358,0,0,0,4482
63,0,6,3.868,1.928,1.928,5,4,832,16,5.795999999999999,N/A,N/A,4.39,18821100.927988,2640464,468160,2172304,3.29,0.0516,3.81e-06,3.35,0.427,0.634,3.33e-06,1.06,2643731,2665956,473496,495721,2640464,18821100.927988,0,0,0,712
64,0,6,4.061,1.725,1.725,6,5,800,64,5.786,N/A,N/A,13.3,50574865.305566,7073093,1241610,5831483,9.36,0.346,1.03e-05,9.71,1.73,2.1,1.1e-05,3.84,7078304,7177271,1263356,1362323,7073093,50574865.305566,0,0,0,2973
7,0,6,3.948,1.844,1.844,8,1,416,16,5.792,N/A,N/A,3.9,18629707.366412,2512104,480128,2031976,3.3,0.0222,3.87e-06,3.32,0.212,0.375,2.82e-06,0.587,2513247,2522652,482207,491612,2512104,18629707.366412,0,0,0,809
8,0,6,3.796,2.004,2.004,2,1,640,128,5.8,N/A,N/A,1.49,5827699.225597,815772,144164,671608,1.06,0.0327,1.18e-06,1.1,0.176,0.217,1.18e-06,0.393,815683,829192,146593,160102,815772,5827699.225597,0,0,0,528
9,0,6,4.083,1.702,1.702,15,1,288,32,5.785,N/A,N/A,9.78,48393513.215994,6526995,1234365,5292630,8.44,0.0612,1.01e-05,8.5,0.532,0.832,7.38e-06,1.36,6528802,6558077,1240372,1269647,6526995,48393513.215994,0,0,0,1807
